"Story","Title","Result","Date","Stability","Duration (s)"
"Formulario Popup Valudation","Diligenciamiento exitoso del formulario, no se presenta ningun mensaje de valdación","ERROR","08:57:57","0.0","11.93"
"Formulario Popup Valudation","Diligenciamiento exitoso del formulario","SUCCESS","11:14:38","0.0","53.06"
